relpath,topic_dir,sha256,is_duplicate,pages,chars,extract_status,modality,is_nanocluster,mechanisms,is_cu,is_cyclodextrin
11 补充-Cu菌群交叉/PMID39760067_PMC11697280.pdf,11 补充-Cu菌群交叉,d2d11ace20c6a7d32f334b9cbba02ac37a63907ebb699e7a12ea4c9ebaf98565,0,,85082,cached,nanomaterial,0,gut_microbiome;antioxidant,1,0
11 补充-Cu菌群交叉/PMID39858184_PMC11758615.pdf,11 补充-Cu菌群交叉,f9175b736a5d5cc4ed9cf74c81a1e55c5e1b437359d7fdf90ef74963e17828ee,0,,64526,cached,nanomaterial,0,gut_microbiome;antioxidant,1,0
11 补充-Cu菌群交叉/PMID40114178_PMC11924796.pdf,11 补充-Cu菌群交叉,de2933d68f406d58ced3911e5903e635d839cd699f55cb524258609ffcad6787,0,,51948,cached,nanomaterial,0,gut_microbiome;antioxidant,1,0
11 补充-Cu菌群交叉/PMID41080727_PMC12512988.pdf,11 补充-Cu菌群交叉,700c021fdbd9c046ba93a442309063ef1a67f31f66379d23e38c81699a28425f,0,,73497,cached,nanomaterial,0,gut_microbiome;antioxidant,1,0
11 补充-Cu菌群交叉/PMID41254219_PMC12627415.pdf,11 补充-Cu菌群交叉,2d17e2995b2b9895108bcc98e3432959c7a97872400b44628656619330d13f4e,0,,43799,cached,nanomaterial,1,antioxidant,1,0
11 补充-Cu菌群交叉/PMID41537187_PMC12798781.pdf,11 补充-Cu菌群交叉,e68507de97f0a478b38375180de17d4392b6afa470119c766616ad39e3cfda16,0,,57156,cached,nanomaterial,1,autophagy;antioxidant,1,0
11 补充-Cu菌群交叉/PMID41732380_PMC12924754.pdf,11 补充-Cu菌群交叉,f182f90d08d75fdc6c90ec3dbc72145998887090b4c361dab72aa5dbaaeb31c5,0,,71692,cached,nanomaterial,0,gut_microbiome;antioxidant,1,0
11 补充-Cu菌群交叉/PMID41892335_PMC13024964.pdf,11 补充-Cu菌群交叉,75541878257023adb2e106d6dede4e319b36cb56161eeac67d44fef483cde59d,0,,161653,cached,biologic,0,gut_microbiome;antioxidant,1,0
11 补充-Cu菌群交叉/PMID41896865_PMC13151254.pdf,11 补充-Cu菌群交叉,965962c8968e23b12b16fc80c4e12afeb81ce88a9f32e466478b1cbb5996a10c,0,,72404,cached,nanomaterial,0,gut_microbiome;antioxidant,1,0
2 阿尔兹海默症的治疗/1-s2.0-S0304389425022034-main.pdf,2 阿尔兹海默症的治疗,4b844cd240481affabb0413fabc40dbb5b948c7f11fbe0c2c429164f46071740,0,,75914,cached,unknown,0,gut_microbiome,0,0
2 阿尔兹海默症的治疗/1-s2.0-S1748013223000373-main.pdf,2 阿尔兹海默症的治疗,62c10769c21e3422203249a297c04c7ff9524829bd471b2a004fa61d8c08015b,0,,71917,cached,nanomaterial,0,amyloid;tau;neuroinflammation,0,0
2 阿尔兹海默症的治疗/Advanced Materials - 2024 - Li - Co‐Assembled Nanoparticles toward Multi‐Target Combinational Therapy of Alzheimer s.pdf,2 阿尔兹海默症的治疗,9c2eccfe592fa910258956d189c180054f0e1cacdec81c34b998714cc21913bf,0,,71947,cached,nanomaterial,0,amyloid;antioxidant,0,0
2 阿尔兹海默症的治疗/Advanced Materials - 2024 - Liu - A Peptide‐Drug Conjugate‐Based Nanoplatform for Immunometabolic Activation and In Situ.pdf,2 阿尔兹海默症的治疗,a58712bd8f6b98fec961b1fef5b2688d00c572b538272a6604f5a6f07d4a91fd,0,,115936,cached,nanomaterial,0,amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/AD治疗综述/1-s2.0-S0092867419310074-main.pdf,2 阿尔兹海默症的治疗,a658771c378be9554cc7e8adc63ba35fa7cf3cb21e46b426b79ce32b44ca6e2b,0,,186576,cached,biologic,0,amyloid;tau,0,0
2 阿尔兹海默症的治疗/AD治疗综述/1-s2.0-S1571064525000041-main.pdf,2 阿尔兹海默症的治疗,90dbf6a2a38760e8fea8460726cf890b4e8e0dd1e5f3063e8f2992ea983fe429,0,,186921,cached,biologic,0,amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/AD治疗综述/20250319154931_977y60f51p.pdf,2 阿尔兹海默症的治疗,eff5f419455ca190d69905d53548494bcb89cc18d12ddde19d36a367b58bf401,0,,29922,cached,biologic,0,amyloid,0,0
2 阿尔兹海默症的治疗/AD治疗综述/bmj-2023-078881.full.pdf,2 阿尔兹海默症的治疗,8d0b40462095bf3a70aae3239d5f47dc7e9ecd5bd007e2c646bf575f72c6db01,0,,142276,cached,biologic,0,amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/Angew Chem Int Ed - 2024 - Ma - A Self‐Reinforced  Microglia Energy Modulator  for Synergistic Amyloid‐  Clearance in.pdf,2 阿尔兹海默症的治疗,78ba8ad89cd79c72c9079a09d36d3e462942f4beb247a07a526c777957eb0eb4,0,,39308,cached,nanomaterial,0,amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/Bacteroides Fragilis in the gut microbiomes.pdf,2 阿尔兹海默症的治疗,3c1b85f92f121905f73d189b22f3a8bc0d273430ec5f5de0e08f7490431335d0,0,,100558,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation,0,0
2 阿尔兹海默症的治疗/chiral-spindle-like-nanorods-reprogram-neuroinflammation-by-catalyzing-α-ketoglutarate-biosynthesis.pdf,2 阿尔兹海默症的治疗,e98a1268843a9fa206b371436c53f69e4e8566ff5ff4e44fc58e888d2bd30b00,0,,72060,cached,nanomaterial,0,gut_microbiome;amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/d3qm00493g.pdf,2 阿尔兹海默症的治疗,857f207b26f4afdb2c2de3b90d7a70f58c4109ef8886e407bfbf725ba6add317,0,,82444,cached,nanomaterial,0,amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/in-situ-self-assembled-phytopolyphenol-coordinated-intelligent-nanotherapeutics-for-multipronged-management-of.pdf,2 阿尔兹海默症的治疗,18bc2f0c5b1b112d0a4c39bb730d57e949fc68710780abd407bbb0a6b87d5339,0,,79283,cached,nanomaterial,0,amyloid;antioxidant,0,0
2 阿尔兹海默症的治疗/Investigating gut alterations in Alzheimer’s disease In-depth analysis with micro- and nano-3D X-ray phase contrast tomography.pdf,2 阿尔兹海默症的治疗,611924ef01e4eeaf81af42a2f9474528eff9f5ceacadd985e6fcbeef62c243ad,0,,73799,cached,nanomaterial,0,gut_microbiome;amyloid;neuroinflammation,0,0
2 阿尔兹海默症的治疗/mannose-integrated-nanoparticle-hitchhike-glucose-transporter-1-recycling-to-overcome-various-barriers-of-oral-delivery.pdf,2 阿尔兹海默症的治疗,19741bd6ba1ad02f8ee250d81fd219f3b912e9b0d527a380bcba4162b862d453,0,,79074,cached,nanomaterial,0,amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/s12974-026-03796-1.pdf,2 阿尔兹海默症的治疗,3f8ae7ecf0726010c415f21144caac6286fd2312bc431178c78edad8ba4990aa,0,,98755,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/s41467-023-41489-y.pdf,2 阿尔兹海默症的治疗,62104123bff6c3cf1bcd1a9915fab832f3e43b88ee97420c53b61a29e2586d47,0,,89624,cached,nanomaterial,0,amyloid;tau;autophagy,0,0
2 阿尔兹海默症的治疗/s41467-024-44737-x.pdf,2 阿尔兹海默症的治疗,c321fa87b61b80bd4ac8026f4b4151db8ddcb72c6f27b4b0b37ef51877b540f8,0,,78602,cached,nanomaterial,0,amyloid;antioxidant,0,0
2 阿尔兹海默症的治疗/s41467-024-49409-4.pdf,2 阿尔兹海默症的治疗,7f92d3e817d83875b54f5efd3e8c140607b5d5856d5fd8edff5d8673fb8acc27,0,,70152,cached,nanomaterial,1,amyloid;neuroinflammation,0,0
2 阿尔兹海默症的治疗/s41467-025-58494-y.pdf,2 阿尔兹海默症的治疗,7c42e44ecc66d32d7277f112861d65592c9098976d3bccfab2bec9c06405c2a2,0,,108229,cached,biologic,0,amyloid,0,0
2 阿尔兹海默症的治疗/s41579-025-01183-w——短链脂肪酸.pdf,2 阿尔兹海默症的治疗,b2d9b5f0c4076d8a020b8fc894eacdbe4c431e5f12100b389b7a16bd348337f0,1,,113476,duplicate,biologic,0,gut_microbiome,0,0
2 阿尔兹海默症的治疗/sciadv.adl2991.pdf,2 阿尔兹海默症的治疗,d88bdfa29399485378fdc19d75264375b682b01cda62714a3de1dee69bcd2cbf,0,,75215,cached,nanomaterial,0,amyloid;tau,0,0
2 阿尔兹海默症的治疗/sciadv.adr0656.pdf,2 阿尔兹海默症的治疗,40f59d4b930f178fc7ca4e8df2363318e73508e593506a1db54dae0293e8c723,0,,109382,cached,nanomaterial,0,amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/Small - 2017 - Xiong - Design of a Molecular Hybrid of Dual Peptide Inhibitors Coupled on AuNPs for Enhanced Inhibition of.pdf,2 阿尔兹海默症的治疗,05482f5ccf09bbff76c043401a643c6c572785ec5b07bd005c8cf74f05f75b99,0,,81654,cached,nanomaterial,1,amyloid,0,0
2 阿尔兹海默症的治疗/yin-et-al-2024-rational-design-of-dual-functionalized-gd-c82-nanoparticles-to-relieve-neuronal-cytotoxicity-in.pdf,2 阿尔兹海默症的治疗,747bdb1b9b2a2b584c8251f06d4d52a694834f3f0bdc5fb36f32b369f1d27e9f,0,,89986,cached,nanomaterial,0,amyloid;tau;autophagy,0,0
2 阿尔兹海默症的治疗/zhang-et-al-2023-hydrodynamic-control-of-alzheimer-aβ-fibrillation-with-glucosaminic-acid-containing-click-cyclized-β.pdf,2 阿尔兹海默症的治疗,fc0cd339c57432c2877efa121caf592b7dd5b7eba4e7a22553f803851b49a5b4,0,,42388,cached,biologic,0,amyloid;tau,0,0
2 阿尔兹海默症的治疗/作用方式/免疫炎症调控/Restoring-hippocampal-glucose-metabolism-rescues-cognition-across-Alzheimer-s-disease-pathologies.pdf,2 阿尔兹海默症的治疗,b7253e98beb3b5f3a335281a67715ad55b38c9dcebea97e4fcd5c576384b405d,0,,86796,cached,biologic,0,amyloid;tau;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/免疫炎症调控/sciadv.adz0887.pdf,2 阿尔兹海默症的治疗,8879312e18f275aca0a57fa51b4916a75d8614c2b7a7a1372226a1636dfd19a4,0,,113867,cached,biologic,0,amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/肠道菌群比例调控/Chiral-nanoparticle-remodeled-gut-microbiota-alleviates-neurodegeneration-via-the-gut-brain.pdf,2 阿尔兹海默症的治疗,45196d382c7c67070cd5118c3fbe9d8bdfd040e7f4c4cf97e0c93e4a1984179e,0,,94410,cached,nanomaterial,0,gut_microbiome;amyloid;tau;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/肠道菌群比例调控/chiral-spindle-like-nanorods-reprogram-neuroinflammation-by-catalyzing-α-ketoglutarate-biosynthesis.pdf,2 阿尔兹海默症的治疗,e98a1268843a9fa206b371436c53f69e4e8566ff5ff4e44fc58e888d2bd30b00,1,,72060,duplicate,nanomaterial,0,gut_microbiome;amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/肠道菌群比例调控/s12868-025-00953-9.pdf,2 阿尔兹海默症的治疗,c5fda7f006f53553667c860501d3b5644d1aa0652b7604772feda2e197817a42,0,,50306,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/1-s2.0-S0891584916309042-main.pdf,2 阿尔兹海默症的治疗,6ebd3cad807f253240a90284438061edf35e32ebfffa64e7200c03136ee974d9,0,,6799,cached,biologic,0,gut_microbiome;amyloid;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/Alzheimer s   Dementia - 2022 - Wang - Protection of cognitive decline and Alzheimer s disease progression by a human.pdf,2 阿尔兹海默症的治疗,7b85bd13ac4eb033df3b9c40487676414535201f9780892b0a2a185edc0e7562,0,,1938,cached,unknown,0,gut_microbiome;amyloid,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/fnins-18-1309075.pdf,2 阿尔兹海默症的治疗,0ad7a60f3d398ad31c3beed5d3244bfba2c1295bc2c4ac2b2e7768c4cda474c4,0,,76078,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/foods-14-01531.pdf,2 阿尔兹海默症的治疗,014e425b88318f65bafeb97d56395f0411a55f44265fb0b6a85a2b5a82f8aece,0,,107855,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/probiotics-prebiotics-and-their-role-in-alzheimers-disease.pdf,2 阿尔兹海默症的治疗,be6b156af1db6427f8ad6a9ed08331480d70edc6383954c3555af8decb34e299,0,,15483,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;autophagy,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/s00210-023-02554-x.pdf,2 阿尔兹海默症的治疗,9405a84a681e5db99b7c3692f7532132580d14a1231113f3147ec0e484f05ba9,0,,66890,cached,biologic,0,gut_microbiome;amyloid;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/s00253-021-11607-1.pdf,2 阿尔兹海默症的治疗,f488cc0016077ca30515f5622046cef8b94c25b4dc3d271954e81869309e81ae,0,,45990,cached,small_molecule,0,gut_microbiome;amyloid;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/s00253-023-12686-y.pdf,2 阿尔兹海默症的治疗,8a5220dfa6ef9a149d5fef3422006973e52202cb3d575d265450e9d4e3aa18e4,0,,44092,cached,biologic,0,gut_microbiome;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/补充益生菌元/s41598-024-84780-8.pdf,2 阿尔兹海默症的治疗,814f32d033c07c3d2a5c6366498e2f166e80f7dbe08f32537dd3e5aec1d3dc2e,0,,73493,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/调节代谢产物/1-s2.0-S1550413124004029-main.pdf,2 阿尔兹海默症的治疗,78bfa9b963e56a5271469feb0fee0d149dab769dd4c8ae6c4782100f0ee32a72,0,,114990,cached,biologic,0,gut_microbiome;amyloid;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/调节代谢产物/Advanced Science - 2025 - Shi - Pigment Epithelium‐Derived Factor Deficiency Impairs Hippocampal Glutamate Homeostasis and.pdf,2 阿尔兹海默症的治疗,9810b93c9113cf26c93e8f09a517d6057e99270947170a93229f5ab2faa3d527,0,,116950,cached,biologic,0,neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/调节代谢产物/s41579-025-01183-w——短链脂肪酸.pdf,2 阿尔兹海默症的治疗,b2d9b5f0c4076d8a020b8fc894eacdbe4c431e5f12100b389b7a16bd348337f0,1,,113476,duplicate,biologic,0,gut_microbiome,0,0
2 阿尔兹海默症的治疗/作用方式/调节代谢产物/肠道菌群关键代谢物对阿尔茨海默病进程的研究进展.pdf,2 阿尔兹海默症的治疗,2f7571ff19bce7b306b577cff4136fdb3c458d722b7bba69f2a59105e6d6cc5c,0,,33147,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;autophagy;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/递送活性物质/1-s2.0-S0168365924000178-main.pdf,2 阿尔兹海默症的治疗,1dee5b7c4c4f764cde9a7a0f258b970e8484ae9e6b76b6d5d1dc222e7437e01d,0,,131384,cached,nanomaterial,0,amyloid;tau;neuroinflammation;antioxidant,0,1
2 阿尔兹海默症的治疗/作用方式/递送活性物质/Advanced Materials - 2023 - Ralvenius - Nanoparticle‐Mediated Delivery of Anti‐PU 1 siRNA via Localized Intracisternal.pdf,2 阿尔兹海默症的治疗,3c4ffd1dec60bd70ed647ed23b2c4a0e913a6055edceff32769cb25b80a4d38e,0,,70659,cached,nanomaterial,0,amyloid;neuroinflammation,0,0
2 阿尔兹海默症的治疗/作用方式/递送活性物质/Advanced Science - 2025 - Wu - Brain‐Wide Neuroregenerative Gene Therapy Improves Cognition in a Mouse Model of Alzheimer s.pdf,2 阿尔兹海默症的治疗,3dfd22577dcb2f5436f8f56383b68b3e9f79a37c76363945a8bbad1438f83c0b,0,,116521,cached,biologic,0,tau;neuroinflammation;antioxidant,0,0
2 阿尔兹海默症的治疗/作用方式/递送活性物质/Engineered-exosomes-with-a-photoinducible-protein-delivery-system-enable-CRISPR-Cas-based.pdf,2 阿尔兹海默症的治疗,8ca44fe9d9ccdda78d4c5fbd179767db1396f69f7ae1cda331f3c59e957b4d6d,0,,89801,cached,nanomaterial,0,amyloid,0,0
2 阿尔兹海默症的治疗/作用机制/神经保护/1-s2.0-S0006899324001598-main.pdf,2 阿尔兹海默症的治疗,28a2994c2290f8a9f70e5e0d7a8b88229ae34731305d774038247358f485fe67,0,,81316,cached,nanomaterial,0,amyloid;tau;antioxidant,0,0
